paper_section,paper_line,claim_text,value,source_file,source_line,status,notes
Abstract,20,Restricting the estimate to the 380 PRs,380/783 (48.5%),results/presubmission_supporting_metrics.csv,7,traced,Pipeline coverage rate.
Abstract,20,"42.1\% (160/380, 95\% CI 37.2\%--47.1\%)",160/380 (42.1%),results/presubmission_supporting_metrics.csv,8,traced,"Wilson CI [37.2%, 47.1%]"
Abstract,20,13.2\% provider-side baseline,13.2%,results/presubmission_supporting_metrics.csv,10,traced,External baseline cited from Raemaekers et al. (2021).
Abstract,20,Maven PRs (65.6\%) drive nearly all of this risk; PyPI PRs (1.4\%) remain low,158/241 (65.6%); 2/139 (1.4%),results/presubmission_supporting_metrics.csv,"11,12",traced,"Wilson CI [59.4%, 71.3%]; Wilson CI [0.4%, 5.1%]"
Abstract,,AUC-ROC 0.894\$\pm\$0.069,0.894 ± 0.069,results/presubmission_supporting_metrics.csv,31,traced,5 repeats x 5 folds = 25 evaluations.
Abstract,20,33.8\% are merged anyway; the median follow-up fix time is 3.5 days,54/160 (33.8%); 47/160 (29.375%),results/presubmission_supporting_metrics.csv,"52,50",traced,Merged share among BC-introducing PRs.; Median 3.543 days; IQR 0.804-10.405
Related Work,,"18,415 Maven artifacts and found that 11.6\%","11.6%, 18,415",paper/secbreak_tse_revision.tex bibliography / cited paper,,external-citation,"Requires external citation verification, handled in section C."
Frozen Cohort,114,"The raw collection contained 1{,}180 rows",1180,results/presubmission_supporting_metrics.csv,2,traced,Raw collection rows before deduplication.
Frozen Cohort,114,"783 unique PRs across 132 repositories (554 Maven, 229 PyPI), of which 52.9\% (414/783) were merged","783; 132; maven=554, pypi=229; 414/783 (52.9%)",results/presubmission_supporting_metrics.csv,"3,4,5,6",traced,Unique PRs in corrected analysis dataset.; Distinct repositories in final cohort.; Ecosystem counts in final cohort.; Merged PR share in final cohort.
Feature Engineering and Analysis,122,marking the 380 PRs where BC detection genuinely executed,380/783 (48.5%),results/presubmission_supporting_metrics.csv,7,traced,Pipeline coverage rate.
Validation Package,125,stratified manual-validation package of 100 sampled PRs,100,results/presubmission_supporting_metrics.csv,55,traced,Rows in corrected manual validation sample.
Data Rectification,129,425 of 554 Maven rows (76.7\%),425/554 (76.7%),results/presubmission_supporting_metrics.csv,53,traced,Maven rows whose older-style titles lacked resolvable groupId:artifactId before rectification.
RQ1,,Pipeline coverage ... 48.5\% (380/783),380/783 (48.5%),results/presubmission_supporting_metrics.csv,7,traced,Pipeline coverage rate.
RQ1,141,"42.1\% (160/380, 95\% Wilson CI 37.2\%--47.1\%)",160/380 (42.1%),results/presubmission_supporting_metrics.csv,8,traced,"Wilson CI [37.2%, 47.1%]"
RQ1,,"full-cohort naive rate (20.4\%, 160/783)",160/783 (20.4%),results/presubmission_supporting_metrics.csv,9,traced,"Full-cohort naive rate, not prevalence."
RQ1,161,Maven reaches 65.6\% (158/241) versus 1.4\% (2/139) for PyPI,"158/241 (65.6%); 2/139 (1.4%); chi2=146.070, p=1.253e-33",results/presubmission_supporting_metrics.csv,"11,12,13",traced,"Wilson CI [59.4%, 71.3%]; Wilson CI [0.4%, 5.1%]; Ecosystem vs. BC contingency test on analyzed rows."
RQ1,161,"37.3\% for patch updates, 34.7\% for minor updates, and 60.6\% for major updates","60/161 (37.3%); 41/118 (34.7%); 57/94 (60.6%); chi2=17.939, p=4.529e-04",results/presubmission_supporting_metrics.csv,"14,15,16,17",traced,"Wilson CI [30.2%, 45.0%]; Wilson CI [26.8%, 43.7%]; Wilson CI [50.5%, 69.9%]; Version bump type vs. BC contingency test on analyzed rows."
RQ1,,"Spearman \$\rho=-0.072\$, \$p=0.164\$","rho=-0.071, p=0.165",results/presubmission_supporting_metrics.csv,18,traced,Spearman correlation between ordinal CVSS severity and BC risk.
RQ1,163,"88.1\% for LOW, 29.8\% for MEDIUM, 36.9\% for HIGH, and 50.0\% for CRITICAL",37/42 (88.1%); 36/121 (29.8%); 55/149 (36.9%); 29/58 (50.0%),results/presubmission_supporting_metrics.csv,"19,20,21,22",traced,"Wilson CI [75.0%, 94.8%]; Wilson CI [22.3%, 38.4%]; Wilson CI [29.6%, 44.9%]; Wilson CI [37.5%, 62.5%]"
RQ1,165,"method-level changes (79.0\%), followed by type-level (11.6\%) and field-level (9.4\%)",79.0%; 11.6%; 9.4%,results/presubmission_supporting_metrics.csv,"23,24,25",traced,106981 of 135437 classified BC events.; 15696 of 135437 classified BC events.; 12760 of 135437 classified BC events.
RQ1 Robustness,169,403 unanalyzed rows,403,results/presubmission_supporting_metrics.csv,28,traced,Number of unanalyzed rows used in bounds/imputation.
RQ1 Robustness,169,"range of [20.4\%, 71.9\%]","[20.4%, 71.9%]",results/presubmission_supporting_metrics.csv,26,traced,Worst-case Manski bounds.
RQ1 Robustness,169,"38.0\% [36.6\%, 39.2\%]",38.0%,results/presubmission_supporting_metrics.csv,27,traced,"bootstrap CI [36.6%, 39.2%]"
RQ1 Robustness,169,"1{,}000 resamples",1000,results/presubmission_supporting_metrics.csv,29,traced,Number of bootstrap resamples for imputation interval.
RQ2,180,"380 PRs, 109 distinct repositories",380/783 (48.5%); 109,results/presubmission_supporting_metrics.csv,"7,35",traced,Pipeline coverage rate.; Distinct repositories represented in analyzed rows.
RQ2,,5 repeats \$\times\$ 5 folds = 25 evaluations,0.894 ± 0.069,results/presubmission_supporting_metrics.csv,31,traced,5 repeats x 5 folds = 25 evaluations.
RQ2,190,0.500 \pm 0.000,0.500 ± 0.000,results/presubmission_supporting_metrics.csv,34,traced,5 repeats x 5 folds = 25 evaluations.
RQ2,191,0.849 \pm 0.082,0.849 ± 0.082,results/presubmission_supporting_metrics.csv,30,traced,5 repeats x 5 folds = 25 evaluations.
RQ2,192,0.894 \pm 0.069,0.894 ± 0.069,results/presubmission_supporting_metrics.csv,31,traced,5 repeats x 5 folds = 25 evaluations.
RQ2,193,0.879 \pm 0.067,0.879 ± 0.067,results/presubmission_supporting_metrics.csv,32,traced,5 repeats x 5 folds = 25 evaluations.
RQ2,194,0.794 \pm 0.106,0.794 ± 0.106,results/presubmission_supporting_metrics.csv,33,traced,5 repeats x 5 folds = 25 evaluations.
RQ2,199,"repository stars (importance 0.381), ecosystem (0.188), CVSS score (0.116), version-bump magnitude (0.075), and ordinal CVSS severity (0.066)",0.381; 0.188; 0.116; 0.075; 0.066,results/presubmission_supporting_metrics.csv,"36,37,38,39,40",traced,Feature-importance rank 1 of 16.; Feature-importance rank 2 of 16.; Feature-importance rank 3 of 16.; Feature-importance rank 4 of 16.; Feature-importance rank 5 of 16.
RQ2,,"has\_cve ... negligible (0.004, rank 15 of 16)",0.005,results/presubmission_supporting_metrics.csv,41,traced,Feature-importance rank 15 of 16.
RQ2,,"\$\beta=-5.26\$, 95\% CI \$[-6.81,-3.70]\$, \$p=3.7\times10^{-11}\$","beta=-5.26, p=3.68e-11",results/presubmission_supporting_metrics.csv,42,traced,"95% CI [-6.81, -3.70]"
RQ2,,"\$\beta=0.68\$, 95\% CI \$[0.25,1.11]\$, \$p=0.002\$","beta=0.68, p=0.00198",results/presubmission_supporting_metrics.csv,43,traced,"95% CI [0.25, 1.11]"
RQ2,,\$p=0.36\$ and \$p=0.36\$,"beta=0.14, p=0.363; beta=-0.00, p=0.359",results/presubmission_supporting_metrics.csv,"44,45",traced,"95% CI [-0.17, 0.45]; 95% CI [-0.00, 0.00]"
RQ3,212,"160 BC-introducing PRs, 54 were merged anyway (33.8\%)",54/160 (33.8%),results/presubmission_supporting_metrics.csv,52,traced,Merged share among BC-introducing PRs.
RQ3,,784 candidate PRs across the 160 BC PRs; ... leaves 248 (31.6\% ...; 68.4\% were unrelated),160; 160,results/presubmission_supporting_metrics.csv,"46,49",traced,BC-introducing PRs in this RQ3 variant.; BC-introducing PRs in this RQ3 variant.
RQ3,,3.5 days (IQR 0.8--10.4) ... 20.0\% fixed within seven days ... 25.6\% within 30 days ... 14.4\% ... 8.8\%,"47/160 (29.375%); 7d=20.000%, 30d=25.625%, reverted=8.750%; 7d=28.125%, 30d=31.250%, reverted=14.375%",results/presubmission_supporting_metrics.csv,"50,51,48",traced,Median 3.543 days; IQR 0.804-10.405; Follow-up response percentages.; Follow-up response percentages.
Discussion,,6--9\$\times\$ higher BC rates than the original 201-row analyzed set,201,results/presubmission_supporting_metrics.csv,54,traced,Original analyzed set size before strengthened reruns.
Discussion,,69.3\% vs. 10.0\% for patch bumps,69.3% vs. 10.0%,results/presubmission_supporting_metrics.csv,56,traced,"Patch-bump BC rate among recovered rows vs original analyzed set, as documented in rectification report."
Discussion,,manual spot-checks of 10 newly-resolved rows,10,results/presubmission_supporting_metrics.csv,57,traced,Manual spot-check count for newly-resolved rows documented in rectification report.
Threats,223,48.5\% of the cohort (380/783),380/783 (48.5%),results/presubmission_supporting_metrics.csv,7,traced,Pipeline coverage rate.
Threats,,"median 9{,}234 vs. 16{,}684 stars ... 36.6\% vs. 22.3\% ... 44.2\% vs. 61.0\% ... \$p=0.777\$",selection-bias summary,results/selection_bias_table.csv,,traced,Backed by selection-bias table and manuscript text.
Threats,223,"[20.4\%, 71.9\%] and a model-based imputed estimate of 38.0\%","[20.4%, 71.9%]; 38.0%",results/presubmission_supporting_metrics.csv,"26,27",traced,"Worst-case Manski bounds.; bootstrap CI [36.6%, 39.2%]"
Threats,233,"2{,}000-PR target",2000,results/presubmission_supporting_metrics.csv,58,missing,Original aspirational collection target mentioned in paper; not traced to a structured output artifact. | No structured raw artifact found in repo.
Conclusion,236,42.1\% introduce a syntactic BC,160/380 (42.1%),results/presubmission_supporting_metrics.csv,8,traced,"Wilson CI [37.2%, 47.1%]"
Conclusion,,65.6\% vs. 1.4\% for PyPI; even patch-level updates introduce a BC 37.3\% of the time,158/241 (65.6%); 2/139 (1.4%); 60/161 (37.3%),results/presubmission_supporting_metrics.csv,"11,12,14",traced,"Wilson CI [59.4%, 71.3%]; Wilson CI [0.4%, 5.1%]; Wilson CI [30.2%, 45.0%]"
Conclusion,,AUC-ROC \$0.894\pm0.069\$,0.894 ± 0.069,results/presubmission_supporting_metrics.csv,31,traced,5 repeats x 5 folds = 25 evaluations.
Conclusion,236,median 3.5 days,47/160 (29.375%),results/presubmission_supporting_metrics.csv,50,traced,Median 3.543 days; IQR 0.804-10.405
